min,gp,dist_miles,usg_pct,ts_pct,age,player_height_inches,player_weight,injured_last_season,injury_report_count_last_season,b2b_games,age_x_minutes,weight_x_minutes,b2b_x_minutes,age_x_weight,target_next_season
13.6,67,1.0,0.218,0.515,24.0,77.0,201.0,0.0,0.0,19,326.4,2733.6,258.4,4824.0,0
17.6,75,1.3,0.151,0.52,25.0,77.0,201.0,1.0,2.0,21,440.00000000000006,3537.6000000000004,369.6,5025.0,3
27.8,75,2.1,0.195,0.551,26.0,77.0,201.0,0.0,0.0,19,722.8000000000001,5587.8,528.2,5226.0,2
26.9,73,1.9,0.202,0.504,27.0,77.0,201.0,1.0,3.0,18,726.3,5406.9,484.2,5427.0,1
23.2,72,1.7,0.198,0.529,28.0,73.0,173.0,0.0,0.0,19,649.6,4013.6,440.8,4844.0,0
18.5,72,1.3,0.182,0.495,29.0,73.0,173.0,0.0,0.0,22,536.5,3200.5,407.0,5017.0,0
9.2,51,0.7,0.188,0.552,30.0,73.0,173.0,0.0,0.0,19,276.0,1591.6,174.79999999999998,5190.0,2
19.0,46,1.3,0.181,0.535,24.0,82.0,248.0,0.0,0.0,20,456.0,4712.0,380.0,5952.0,0
19.2,73,1.4,0.2,0.521,25.0,82.0,248.0,0.0,0.0,21,480.0,4761.599999999999,403.2,6200.0,0
10.9,39,0.8,0.175,0.579,26.0,82.0,220.0,0.0,0.0,15,283.40000000000003,2398.0,163.5,5720.0,3
14.5,71,1.0,0.15,0.578,27.0,83.0,245.0,1.0,3.0,15,391.5,3552.5,217.5,6615.0,0
19.7,40,1.5,0.137,0.537,24.0,78.0,201.0,0.0,0.0,20,472.79999999999995,3959.7,394.0,4824.0,0
18.2,29,1.4,0.139,0.515,25.0,78.0,201.0,0.0,0.0,19,455.0,3658.2,345.8,5025.0,0
11.1,59,0.8,0.182,0.498,26.0,78.0,185.0,0.0,0.0,19,288.59999999999997,2053.5,210.9,4810.0,0
14.6,53,1.1,0.16,0.489,27.0,78.0,185.0,0.0,0.0,17,394.2,2701.0,248.2,4995.0,0
20.0,82,1.5,0.166,0.549,28.0,78.0,185.0,0.0,0.0,15,560.0,3700.0,300.0,5180.0,0
6.8,24,0.5,0.168,0.603,25.0,80.0,230.0,0.0,0.0,20,170.0,1564.0,136.0,5750.0,0
18.5,78,1.3,0.188,0.52,26.0,81.0,227.0,0.0,0.0,18,481.0,4199.5,333.0,5902.0,3
27.3,77,1.9,0.144,0.601,27.0,81.0,227.0,0.0,0.0,17,737.1,6197.1,464.1,6129.0,4
12.7,13,1.0,0.15,0.44,23.0,79.0,205.0,0.0,0.0,20,292.09999999999997,2603.5,254.0,4715.0,0
16.3,15,1.2,0.136,0.523,25.0,75.0,195.0,0.0,0.0,20,407.5,3178.5,326.0,4875.0,0
8.7,20,0.7,0.146,0.567,26.0,75.0,195.0,0.0,0.0,21,226.2,1696.4999999999998,182.7,5070.0,0
7.3,51,0.5,0.209,0.479,24.0,77.0,195.0,0.0,0.0,18,175.2,1423.5,131.4,4680.0,1
9.9,11,0.7,0.186,0.399,23.0,78.0,206.0,0.0,0.0,20,227.70000000000002,2039.4,198.0,4738.0,0
9.3,53,0.7,0.184,0.467,27.0,82.0,260.0,0.0,0.0,19,251.10000000000002,2418.0,176.70000000000002,7020.0,2
16.0,70,1.1,0.172,0.618,28.0,82.0,260.0,0.0,0.0,21,448.0,4160.0,336.0,7280.0,2
15.2,81,1.0,0.184,0.563,29.0,82.0,260.0,1.0,2.0,20,440.79999999999995,3952.0,304.0,7540.0,3
15.5,75,1.0,0.139,0.57,30.0,82.0,260.0,1.0,2.0,17,465.0,4030.0,263.5,7800.0,0
30.8,75,2.1,0.17,0.493,21.0,83.0,228.0,0.0,0.0,21,646.8000000000001,7022.400000000001,646.8000000000001,4788.0,6
29.3,67,2.0,0.187,0.544,22.0,83.0,228.0,1.0,3.0,19,644.6,6680.400000000001,556.7,5016.0,4
20.5,51,1.4,0.171,0.622,23.0,83.0,228.0,1.0,6.0,15,471.5,4674.0,307.5,5244.0,2
8.6,42,0.6,0.134,0.469,21.0,85.0,255.0,0.0,0.0,18,180.6,2193.0,154.79999999999998,5355.0,6
22.0,69,1.5,0.133,0.542,22.0,85.0,255.0,0.0,0.0,18,484.0,5610.0,396.0,5610.0,2
23.3,78,1.6,0.202,0.482,23.0,85.0,260.0,1.0,6.0,14,535.9,6058.0,326.2,5980.0,3
20.3,77,1.4,0.174,0.553,24.0,85.0,260.0,1.0,2.0,14,487.20000000000005,5278.0,284.2,6240.0,3
6.7,15,0.5,0.154,0.475,22.0,78.0,210.0,0.0,0.0,19,147.4,1407.0,127.3,4620.0,1
13.4,51,1.0,0.111,0.525,23.0,78.0,210.0,0.0,0.0,19,308.2,2814.0,254.6,4830.0,1
26.0,81,1.9,0.159,0.572,24.0,78.0,210.0,1.0,1.0,19,624.0,5460.0,494.0,5040.0,1
28.5,79,2.1,0.146,0.602,25.0,78.0,215.0,1.0,1.0,15,712.5,6127.5,427.5,5375.0,2
10.0,40,0.8,0.099,0.518,22.0,79.0,210.0,0.0,0.0,15,220.0,2100.0,150.0,4620.0,2
19.2,67,1.5,0.088,0.513,23.0,79.0,210.0,0.0,0.0,18,441.59999999999997,4032.0,345.59999999999997,4830.0,1
22.2,70,1.7,0.092,0.566,24.0,79.0,210.0,1.0,2.0,16,532.8,4662.0,355.2,5040.0,1
30.1,79,2.2,0.099,0.51,25.0,79.0,210.0,1.0,1.0,15,752.5,6321.0,451.5,5250.0,2
12.7,52,0.9,0.194,0.425,21.0,80.0,259.0,0.0,0.0,20,266.7,3289.2999999999997,254.0,5439.0,3
15.7,57,1.1,0.172,0.458,22.0,80.0,245.0,1.0,4.0,19,345.4,3846.5,298.3,5390.0,2
4.4,19,0.3,0.166,0.446,23.0,80.0,245.0,1.0,3.0,17,101.2,1078.0,74.80000000000001,5635.0,0
10.2,52,0.8,0.185,0.507,19.0,77.0,198.0,0.0,0.0,18,193.79999999999998,2019.6,183.6,3762.0,0
13.0,41,1.0,0.225,0.486,20.0,77.0,198.0,0.0,0.0,18,260.0,2574.0,234.0,3960.0,1
19.5,57,1.4,0.227,0.498,21.0,77.0,200.0,0.0,0.0,14,409.5,3900.0,273.0,4200.0,0
26.7,82,2.0,0.166,0.485,21.0,77.0,195.0,0.0,0.0,19,560.6999999999999,5206.5,507.3,4095.0,0
32.6,82,2.4,0.17,0.552,22.0,77.0,195.0,0.0,0.0,18,717.2,6357.0,586.8000000000001,4290.0,3
21.2,68,1.6,0.172,0.531,23.0,77.0,195.0,0.0,0.0,19,487.59999999999997,4134.0,402.8,4485.0,0
19.3,61,1.4,0.197,0.538,24.0,77.0,195.0,1.0,3.0,19,463.20000000000005,3763.5,366.7,4680.0,1
12.5,38,0.9,0.201,0.521,22.0,76.0,200.0,0.0,0.0,19,275.0,2500.0,237.5,4400.0,1
15.7,62,1.2,0.198,0.534,23.0,76.0,200.0,1.0,1.0,19,361.09999999999997,3140.0,298.3,4600.0,0
34.7,80,2.6,0.266,0.544,24.0,76.0,200.0,1.0,1.0,19,832.8000000000001,6940.000000000001,659.3000000000001,4800.0,1
